CandidateRecordID,DiscoveryYear,SourceID,SourceDependenceGroup,SourceRecordID,SourceURL,SourcePublishedAt,FirstPublicSignalAt,EventStart,EventEnd,CanonicalEventDate,ActorClaim,AttackMethod,LocationText,CountryScope,Region,Latitude,Longitude,TargetName,TargetID,NodeID,ProvisionalTargetGroupID,TargetClass,Sector,CriticalityStatus,PhysicalAttackStatus,OperationalDisruptionStatus,DisruptionStart,DisruptionDurationHours,IndependentConfirmationStatus,ConfirmationSourceID,InclusionStatus,ExclusionReason,SplitStatus,ParentCandidateRecordID,RelatedEventID,DedupeKeyDate,DedupeKeyLocation,DedupeKeyTarget,DedupeKeyNode,DedupeClusterID,DedupeDecision,CanonicalCandidateRecordID,ConflictStatus,OutcomeRelevantUnresolved,ReviewStatus,ReviewedAt,Reviewer,EvidenceQuoteOrNote,EvidenceArchivePath,CandidateCensusComplete
R25C-0001,2025,REUTERS,DG_REUTERS,R25R-0001,,2025-01-24,2025-01-24,2025-01-24,2025-01-24,2025-01-24,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Ryazan oil refinery,RUSSIA_PROPER,,,,Ryazan oil refinery,TGT_RU_RYAZAN_OIL_REFINERY,NODE_RU_RYAZAN_OIL_REFINERY,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,CONFIRMED,UNCERTAIN,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-01-24,RYAZAN_OIL_REFINERY,RYAZAN_OIL_REFINERY,RYAZAN_OIL_REFINERY,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Reuters industry sources; operations suspended tanks burned/equipment damaged,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0002,2025,REUTERS,DG_REUTERS,R25R-0002,,2025-01-29,2025-01-29,2025-01-29,2025-01-29,2025-01-29,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Sibur-Kstovo petrochemical plant,RUSSIA_PROPER,,,,Sibur-Kstovo petrochemical plant,TGT_RU_SIBUR_KSTOVO_PETROCHEMICAL_PLANT,NODE_RU_SIBUR_KSTOVO_PETROCHEMICAL_PLANT,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,CONFIRMED,UNCERTAIN,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-01-29,SIBUR_KSTOVO_PETROCHEMICAL_PLANT,SIBUR_KSTOVO_PETROCHEMICAL_PLANT,SIBUR_KSTOVO_PETROCHEMICAL_PLANT,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Sibur confirmed shipments suspended after drone attack,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0003,2025,REUTERS,DG_REUTERS,R25R-0003,,2025-01-29,2025-01-29,2025-01-29,2025-01-29,2025-01-29,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Andreapol oil pumping station,RUSSIA_PROPER,,,,Andreapol oil pumping station,TGT_RU_ANDREAPOL_OIL_PUMPING_STATION,NODE_RU_ANDREAPOL_OIL_PUMPING_STATION,,PIPELINE_PUMPING_NODE,PIPELINE_PUMPING,NOT_ASSESSED,CONFIRMED,NOT_ASSESSED,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-01-29,ANDREAPOL_OIL_PUMPING_STATION,ANDREAPOL_OIL_PUMPING_STATION,ANDREAPOL_OIL_PUMPING_STATION,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,SBU target attribution and Transneft corroboration of damage/fire context,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0004,2025,REUTERS,DG_REUTERS,R25R-0004,,2025-01-29,2025-01-29,2025-01-29,2025-01-29,2025-01-29,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,23rd GRAU missile arsenal Tver Oblast,RUSSIA_PROPER,,,,23rd GRAU missile arsenal Tver Oblast,TGT_RU_23RD_GRAU_MISSILE_ARSENAL_TVER_OBLAST,NODE_RU_23RD_GRAU_MISSILE_ARSENAL_TVER_OBLAST,,DEFENSE_INDUSTRIAL_FACILITY,DEFENSE_INDUSTRY,NOT_ASSESSED,CONFIRMED,NOT_ASSESSED,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-01-29,23RD_GRAU_MISSILE_ARSENAL_TVER_OBLAST,23RD_GRAU_MISSILE_ARSENAL_TVER_OBLAST,23RD_GRAU_MISSILE_ARSENAL_TVER_OBLAST,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,SBU claim reported by Reuters; no independent target-level verification found,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0005,2025,REUTERS,DG_REUTERS,R25R-0005,,2025-02-03,2025-02-03,2025-02-03,2025-02-03,2025-02-03,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Astrakhan gas processing plant,RUSSIA_PROPER,,,,Astrakhan gas processing plant,TGT_RU_ASTRAKHAN_GAS_PROCESSING_PLANT,NODE_RU_ASTRAKHAN_GAS_PROCESSING_PLANT,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,CONFIRMED,UNCERTAIN,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-02-03,ASTRAKHAN_GAS_PROCESSING_PLANT,ASTRAKHAN_GAS_PROCESSING_PLANT,ASTRAKHAN_GAS_PROCESSING_PLANT,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Fuel production suspended after attack,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0006,2025,REUTERS,DG_REUTERS,R25R-0006,,2025-02-03,2025-02-03,2025-02-03,2025-02-03,2025-02-03,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Volgograd oil refinery,RUSSIA_PROPER,,,,Volgograd oil refinery,TGT_RU_VOLGOGRAD_OIL_REFINERY,NODE_RU_VOLGOGRAD_OIL_REFINERY,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,CONFIRMED,NOT_ASSESSED,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-02-03,VOLGOGRAD_OIL_REFINERY,VOLGOGRAD_OIL_REFINERY,VOLGOGRAD_OIL_REFINERY,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Drone strike with operational disruption reported by Reuters,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0007,2025,REUTERS,DG_REUTERS,R25R-0007,,2025-02-11,2025-02-11,2025-02-11,2025-02-11,2025-02-11,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Saratov oil refinery,RUSSIA_PROPER,,,,Saratov oil refinery,TGT_RU_SARATOV_OIL_REFINERY,NODE_RU_SARATOV_OIL_REFINERY,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,CONFIRMED,UNCERTAIN,,,CONFIRMED_INDEPENDENT,REUTERS_OR_INDEPENDENT_EFFECT_EVIDENCE,INCLUDE_RUSSIA_PROPER,,NOT_APPLICABLE,,,2025-02-11,SARATOV_OIL_REFINERY,SARATOV_OIL_REFINERY,SARATOV_OIL_REFINERY,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Fuel production suspended after Ukrainian drone attack,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0008,2025,REUTERS,DG_REUTERS,R25R-0008,,2025-02-17,2025-02-17,2025-02-17,2025-02-17,2025-02-17,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Ilsky oil refinery,RUSSIA_PROPER,,,,Ilsky oil refinery,TGT_RU_ILSKY_OIL_REFINERY,NODE_RU_ILSKY_OIL_REFINERY,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,CONFIRMED,NOT_ASSESSED,,,DEPENDENT_CONFIRMATION,,DUPLICATE,DUPLICATE_OF_VIINA_CANONICAL,NOT_APPLICABLE,,,2025-02-17,ILSKY_OIL_REFINERY,ILSKY_OIL_REFINERY,ILSKY_OIL_REFINERY,CL_VIINA_222660_RU1,DUPLICATE_LINKED,VIINA-222660-RU1,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Matches VIINA 222660 RU1 same node and attack date,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0009,2025,REUTERS,DG_REUTERS,R25R-0009,,2025-02-17,2025-02-17,2025-02-17,2025-02-17,2025-02-17,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Kropotkinskaya CPC pumping station,RUSSIA_PROPER,,,,Kropotkinskaya CPC pumping station,TGT_RU_KROPOTKINSKAYA_CPC_PUMPING_STATION,NODE_RU_KROPOTKINSKAYA_CPC_PUMPING_STATION,,PIPELINE_PUMPING_NODE,PIPELINE_PUMPING,NOT_ASSESSED,CONFIRMED,NOT_ASSESSED,,,DEPENDENT_CONFIRMATION,,DUPLICATE,DUPLICATE_OF_VIINA_CANONICAL,NOT_APPLICABLE,,,2025-02-17,KROPOTKINSKAYA_CPC_PUMPING_STATION,KROPOTKINSKAYA_CPC_PUMPING_STATION,KROPOTKINSKAYA_CPC_PUMPING_STATION,CL_VIINA_222660_RU2,DUPLICATE_LINKED,VIINA-222660-RU2,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Matches VIINA 222660 RU2 same node and attack date,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
R25C-0010,2025,REUTERS,DG_REUTERS,R25R-0010,,2025-02-19,2025-02-19,2025-02-19,2025-02-19,2025-02-19,UKRAINE,DRONE_OR_MISSILE_UNRESOLVED,Syzran oil refinery,RUSSIA_PROPER,,,,Syzran oil refinery,TGT_RU_SYZRAN_OIL_REFINERY,NODE_RU_SYZRAN_OIL_REFINERY,,PROCESSING_FACILITY,REFINING_PETROCHEM_GAS,NOT_ASSESSED,NOT_EVENT,NOT_ASSESSED,,,SINGLE_SOURCE,,EXCLUDE_NOT_EVENT,NO_CONFIRMED_QUALIFYING_PHYSICAL_TARGET_EFFECT,NOT_APPLICABLE,,,2025-02-19,SYZRAN_OIL_REFINERY,SYZRAN_OIL_REFINERY,SYZRAN_OIL_REFINERY,,UNIQUE,,NONE,FALSE,COMPLETE,2026-08-19,ChatGPT_DEEP_CLOSURE_REVIEW,Reuters chronology records attack with refinery disruption,output/REUTERS_2025_VIINA_RECONCILIATION_V1.csv|output/REUTERS_2025_PROVISIONAL_20_RESOLUTION_V1.csv|output/REUTERS_2025_OPEN8_RESOLUTION_V1.csv|output/REUTERS_2025_FINAL_DISPOSITION_9_V1.csv|output/REUTERS_2025_PROVENANCE_LINKAGE_5_V1.csv,FALSE
