SourceEventID,VIINADate,ManualDecision,CanonicalEventDate,CountryScope,CanonicalTargetOrLink,TargetID,NodeID,Sector,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
373640,20250311,INCLUDE_RUSSIA_PROPER,2025-03-11,RUSSIA_PROPER,Steel Horse linear production dispatch station Oryol Oblast,TGT_RU_STEEL_HORSE_DRUZHBA_20250311,NODE_RU_STEEL_HORSE_DRUZHBA,PIPELINE_PUMPING,CANONICAL_EVENT,CENSUS_CANDIDATE_ONLY,General Staff reported strike on Steel Horse Druzhba-system facility in Oryol Oblast; Hungary reported supply suspension,FALSE
373644,20250312,LINK_FOLLOWUP,2025-03-11,RUSSIA_PROPER,Steel Horse linear production dispatch station Oryol Oblast,TGT_RU_STEEL_HORSE_DRUZHBA_20250311,NODE_RU_STEEL_HORSE_DRUZHBA,PIPELINE_PUMPING,LINK_373640,CENSUS_CANDIDATE_ONLY,Follow-up on same 11 March Druzhba disruption,FALSE
373645,20250312,LINK_DUPLICATE_FOLLOWUP,2025-03-11,RUSSIA_PROPER,Steel Horse linear production dispatch station Oryol Oblast,TGT_RU_STEEL_HORSE_DRUZHBA_20250311,NODE_RU_STEEL_HORSE_DRUZHBA,PIPELINE_PUMPING,LINK_373640,CENSUS_CANDIDATE_ONLY,Same Telegram source and same event as 373644/373640,FALSE
6376,20250325,EXCLUDE_CRIMEA_SCOPE_ANALYSIS,,CRIMEA_SEVASTOPOL,Crimean shipbuilding industry,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Analytical report on damaged-equipment storage in occupied Crimea; no new Russia-proper physical event,FALSE
236201,20250410,EXCLUDE_PLANNED_ATTACK_NO_REALIZED_EVENT,,UKRAINE_OTHER,Kherson electricity substation,,,,NOT_APPLICABLE,NOT_SCORING_EVENT,Arrested agent allegedly planned to guide a future Russian strike; no realized target event,FALSE
236432,20250715,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-07-15,UKRAINE_OTHER,Shipbuilders cultural building Kherson,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian destruction in Kherson Ukraine and not a Russia-proper DEEP target,FALSE
373666,20250813,LINK_FOLLOWUP,2025-08-13,RUSSIA_PROPER,Unecha Druzhba pumping station Bryansk Oblast,TGT_RU_UNECHA_DRUZHBA_20250813,NODE_RU_UNECHA_DRUZHBA,PIPELINE_PUMPING,LINK_373663,CENSUS_CANDIDATE_ONLY,Political reaction to same 12-13 August Unecha strike,FALSE
373663,20250813,INCLUDE_RUSSIA_PROPER,2025-08-13,RUSSIA_PROPER,Unecha Druzhba pumping station Bryansk Oblast,TGT_RU_UNECHA_DRUZHBA_20250813,NODE_RU_UNECHA_DRUZHBA,PIPELINE_PUMPING,CANONICAL_EVENT,CENSUS_CANDIDATE_ONLY,General Staff and intelligence reporting describe damage and major fire at key Druzhba node,FALSE
373664,20250813,LINK_FOLLOWUP,2025-08-13,RUSSIA_PROPER,Unecha Druzhba pumping station Bryansk Oblast,TGT_RU_UNECHA_DRUZHBA_20250813,NODE_RU_UNECHA_DRUZHBA,PIPELINE_PUMPING,LINK_373663,CENSUS_CANDIDATE_ONLY,Hungarian reaction to same 13 August strike,FALSE
373672,20250817,LINK_DAMAGE_FOLLOWUP,2025-08-13,RUSSIA_PROPER,Unecha Druzhba pumping station Bryansk Oblast,TGT_RU_UNECHA_DRUZHBA_20250813,NODE_RU_UNECHA_DRUZHBA,PIPELINE_PUMPING,LINK_373663,CENSUS_CANDIDATE_ONLY,Satellite damage assessment confirms destruction from the 12-13 August strike; not a new attack,FALSE
