event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text_terms,ru_scope_text_terms,representative_text,TriageStatus,TriageReason,CandidateCensusComplete,ScopeAuto,ScopeReason,EventFormAuto,EventFormReason,ExactReportDuplicateCluster,TriagePriority,ManualReviewRequired,DedupeClusterID,DedupeDecision,CanonicalEventID1pd,DedupeBasis,EventLevelDedupeStatus,ScopeAutoV2,ScopeReasonV2,EventFormAutoV2,EventFormReasonV2,TriagePriorityV2,R5PriorityV3,R5PriorityReasonV3,RussiaTargetTextHitsV3,UkraineActorEvidenceV3,RussiaActorEvidenceV3,UkraineAdm1EvidenceV3,CrimeaAdm1EvidenceV3,RussiaReviewMethodEvidenceV3
252229,20220224,8,147109|147299|370393,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак|взрыв|ракет|удар,710374,Chuhuiv,Kharkiv,Chuhu‹vs'kyi,36.679453,49.835274,REVIEW,REVIEW_COORDINATE_NEAR_RU,6.307,479565,Uda,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны.  Валерия  «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ».  Максим  «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое».  Инна  «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?» || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,UKRAINE_OCCUPIED_OTHER,OCCUPIED_UA_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P5_OCCUPIED_UA_OTHER,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,252229,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
252232,20220224,1,370251,mz,,STRATEGIC_AIRBASE,аэродром,атак|взрыв,710374,Chuhuiv,Kharkiv,Chuhu‹vs'kyi,36.679453,49.835274,REVIEW,REVIEW_COORDINATE_NEAR_RU,6.307,479565,Uda,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны. Валерия «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ». Максим «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое». Инна «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?»",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,252232,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
265513,20220224,6,147331,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак,710791,Cherkasy,Cherkasy,Cherkas'ka,32.059768,49.444433,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Cherkasy,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,265513,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
265519,20220224,1,370425,mz,,STRATEGIC_AIRBASE,аэродром,атак,710791,Cherkasy,Cherkasy,Cherkas'ka,32.059768,49.444433,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Cherkasy,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,265519,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,TRUE,TRUE,FALSE,TRUE
221259,20220225,1,1654948,pravdaua,https://www.pravda.com.ua/news/2022/02/25/7325920/,STRATEGIC_AIRBASE,аеродром,пожеж|ракет,707153,Kalinovka,Khmel'nyts'kyy,Khmel'nyts'kyi,26.92966,49.507388,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Kalinovka,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,,,"Росіяни обстріляли ракетами аеродром Старокостянтинова, він горить. Російські військові кинули 5 ракет на військовий аеродром Старокостянтинова (Хмельницька область), там почалася пожежа.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,221259,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,L2_RUS_ACTOR_UA_GEO,RUSSIAN_ACTOR_AND_UKRAINE_GEOCODE,,FALSE,TRUE,TRUE,FALSE,TRUE
52074,20220226,2,2275207,nv,https://nv.ua/ukr/ukraine/events/u-genshtabi-pidtverdili-ataki-zsu-na-aerodromi-v-krimu-ta-npz-v-krasnodarskomu-kraji-50493371.html,REFINING_PETROCHEM_GAS|STRATEGIC_AIRBASE,НПЗ|аеродром,атак,693805,Simferopol,Crimea,Simferopol's'ka,34.0994127132379,44.9536335,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,ЗСУ,Краснодар|твер,У Генштабі підтвердили атаки ЗСУ на аеродроми в Криму та НПЗ в Краснодарському краї,REVIEW_LOCATION_AMBIGUOUS,REVIEW_DISPUTED_CRIMEA,FALSE,CONFLICT_OR_COMPOSITE,CRIMEA_AND_RUSSIA_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P3_SCOPE_CONFLICT_COMPOSITE,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,52074,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,L1_CRIMEA_GEO,VIINA_ADM1_CRIMEA,,TRUE,FALSE,FALSE,TRUE,FALSE
62028,20220226,1,2279025,24tvua,https://24tv.ua/vibuhi-okupovanomu-krimu-aktivnist-ppo-sevastopoli-belbeku-25022025_n2762104,STRATEGIC_AIRBASE,аеродром,вибух,694423,Sevastopol,Sevastopol',Lenins'kyi,33.52291,44.60105,REVIEW,REVIEW_DISPUTED_CRIMEA,,,,a_ukr_init_b,0,a_ukr_b,0,a_rus_init_b,0,a_rus_b,0,,,"У мережі пишуть про вибухи у Саках, Севастополі та у районі аеродрому Бельбек",REVIEW_LOCATION_AMBIGUOUS,REVIEW_DISPUTED_CRIMEA,FALSE,CRIMEA_SEVASTOPOL,CRIMEA_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P4_CRIMEA,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,62028,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,M2_REMAINS_UNRESOLVED,NO_DECISIVE_SECOND_STAGE_SIGNAL,,FALSE,FALSE,FALSE,FALSE,FALSE
81666,20220226,1,1655119,pravdaua,https://www.pravda.com.ua/news/2022/02/26/7326117/,STRATEGIC_AIRBASE,аеродром,дрон,696643,Poltava,Poltava,Poltavs'ka,34.551245,49.589531,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Poltava,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,"У Полтаві над військовим аеродромом збили 4 ворожих дрони – мер. Міський голова Полтави Олександр Мамай заявив, що територіальна оборона збила чотири дрони біля військового аеродрому.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,81666,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,L3_UA_GEO_NO_UA_ACTOR,UKRAINE_GEOCODE_WITHOUT_UA_ACTOR_EVIDENCE,,FALSE,FALSE,TRUE,FALSE,TRUE
298788,20220227,4,147659,mz,https://t.me/uniannet/33158,FUEL_STORAGE_TERMINAL,нефтебаз,пожар,805500,Voronyne,Sumy,Bilopils'kyi,34.123755,51.106236,REVIEW,REVIEW_COORDINATE_NEAR_RU,19.395,806795,Stantsiya Tetkino,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"В городе Ахтырке Сумской области снаряд попал в нефтебазу, начался пожар, сообщает «Украина 24».",REVIEW_LOCATION_AMBIGUOUS,REVIEW_COORDINATE_NEAR_RU,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,298788,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,H2_UA_ACTOR_RUSSIA_LOCATION_REVIEW,UA_ACTOR_PLUS_RUSSIA_SUSPECT_LOCATION_METHOD,,TRUE,FALSE,TRUE,FALSE,TRUE
42225,20220228,3,31795,forbesua,https://forbes.ua/news/khronika-viyni-28-lyutogo-ukraina-dae-gidnu-vidsich-ta-pochinae-peremovini-z-rosieyu-28022022-3979,FUEL_STORAGE_TERMINAL,нафтобаз,пожеж,692194,Sumy,Sumy,Sums'ka,34.802764,50.91198,REVIEW,REVIEW_NAME_ONLY_RU_SUPPORT,,,Sumy,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,"Російські окупанти знову почали обстрілювати Охтирку . Снаряд влучив у нафтобазу, розпочалася пожежа, чорний дим здіймається у небо. Про це пише Суспільне Суми.",REVIEW_LOCATION_AMBIGUOUS,REVIEW_NAME_ONLY_RU_SUPPORT,FALSE,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,FRESH_ATTACK_WORDING,FRESH_ATTACK_CUE,,P6_SCOPE_UNKNOWN,TRUE,,UNIQUE_EXACT_REPORT_LEVEL,42225,NO_EXACT_REPORT_DUPLICATE,PENDING,UNKNOWN,NO_DECISIVE_SCOPE_TEXT,EVENT_FORM_UNRESOLVED,NO_DECISIVE_EVENT_FORM_CUE,R5_SCOPE_UNKNOWN,L3_UA_GEO_NO_UA_ACTOR,UKRAINE_GEOCODE_WITHOUT_UA_ACTOR_EVIDENCE,,FALSE,FALSE,TRUE,FALSE,TRUE
