CandidateID,SourceEventID,ParentEventID,CanonicalEventDate,SourceClass,TargetID,NodeID,TargetName,Location,TargetClass,SplitStatus,DedupeStatus,RelatedEventID,CandidateCensusComplete,TargetResolution,SourceURL,Notes
VIINA-RU-001,373644,,2025-03-11,MANUAL_PROMOTE,TGT_RU_ORYOL_STEEL_HORSE,NODE_RU_ORYOL_STEEL_HORSE,Steel Horse linear production dispatch / Druzhba metering facility,"Oryol Oblast, Russia",PIPELINE_PUMPING,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://t.me/rentv_news/170964,"VIINA geocoded Druzhba to Donetsk; independent reporting identifies the struck Druzhba facility in Oryol region as Steel Horse."
VIINA-RU-002,373677,,2025-08-18,MANUAL_PROMOTE,TGT_RU_NIKOLSKOYE_PUMP,NODE_RU_NIKOLSKOYE_PUMP,Nikolskoye oil pumping station,"Tambov Oblast, Russia",PIPELINE_PUMPING,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://news.liga.net/politics/news/udar-vsu-polnostyu-ostanovil-nefteprovod-druzhba-genshtab,"Strike stopped Druzhba pumping; separate from later Unecha/Naitopovichi attacks."
VIINA-RU-003,373693,,2025-08-22,MANUAL_PROMOTE,TGT_RU_UNECHA_PUMP,NODE_RU_UNECHA_PUMP,Unecha Druzhba oil pumping station,"Unecha, Bryansk Oblast, Russia",PIPELINE_PUMPING,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://www.pravda.com.ua/news/2025/08/22/7527313/,"Third Druzhba-system attack in short period; corroborated as Unecha station."
VIINA-RU-004,373735,,2025-09-07,MANUAL_PROMOTE,TGT_RU_NAITOP_OVICHI_8N,NODE_RU_NAITOP_OVICHI_8N,Naitopovichi 8-N oil pumping station,"Bryansk Oblast, Russia",PIPELINE_PUMPING,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://t.me/operativnoZSU/191221,"Canonical event date corrected from VIINA report date 2025-09-09 to night of 6-7 September. Duplicate row 373736 excluded upstream."
VIINA-RU-005,90778,,2025-09-12,MANUAL_PROMOTE,TGT_RU_PRIMORSK_PORT,NODE_RU_PRIMORSK_PORT,Primorsk oil export port,"Primorsk, Leningrad Oblast, Russia",PORT_EXPORT_LOGISTICS,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://news.liga.net/politics/news/drony-sbu-porazili-klyuchevoi-eksportnyi-port-v-rossii-primorsk-istochniki,"VIINA wrongly geocoded Prymorsk to Zaporizhzhia; report explicitly identifies Russian export port."
VIINA-RU-006,416425,,2026-02-15,MANUAL_PROMOTE,TGT_RU_TAMAN_VOLNA_COMPLEX,NODE_RU_TAMAN_VOLNA_COMPLEX,Taman port oil and gas complex at Volna,"Volna, Krasnodar Krai, Russia",PORT_EXPORT_LOGISTICS,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://militarnyi.com/uk/news/drony-urazyly-port-taman/,"Fresh drone attack on port oil/gas complex. Follow-up row 416426 excluded upstream."
VIINA-RU-007,405946,,2026-02-12,MANUAL_PROMOTE,TGT_RU_UKHTA_REFINERY,NODE_RU_UKHTA_REFINERY,Lukoil Ukhta refinery,"Ukhta, Komi Republic, Russia",REFINING_PETROCHEM_GAS,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://www.unian.ua/war/noviy-rekord-ukrajinski-droni-vdarili-po-npz-za-1750-km-vid-kordonu-bi-13284993.html,"Canonical event date is 2026-02-12; VIINA report date was 2026-02-13."
VIINA-RU-008,403096,,2026-02-23,MANUAL_PROMOTE,TGT_RU_KALEYKINO_PUMP,NODE_RU_KALEYKINO_PUMP,Kaleikino oil pumping station,"Tatarstan, Russia",PIPELINE_PUMPING,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://espreso.tv/viyna-z-rosiyeyu-nps-kaleykino-na-naftovomu-truboprovodi-druzhba-zaznala-nichnoi-ataki,"Druzhba-system pumping station near Almetyevsk."
VIINA-RU-009,274486,,2026-03-14,MANUAL_PROMOTE,TGT_RU_PORT_KAVKAZ,NODE_RU_PORT_KAVKAZ,Port Kavkaz oil depot / port complex,"Temryuk District, Krasnodar Krai, Russia",PORT_EXPORT_LOGISTICS,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://militarnyi.com/uk/news/drony-atakuvaly-port-kavkaz-u-krasnodarskomu-krayi-tse-p-yatyj-za-vantazhoobigom-port-rf/,"Port and associated oil-depot complex treated as one functional target pending finer facility evidence."
VIINA-RU-010,378311,,2026-03-16,MANUAL_PROMOTE,TGT_RU_LABINSK_OIL_DEPOT,NODE_RU_LABINSK_OIL_DEPOT,Labinsk oil depot,"Labinsk, Krasnodar Krai, Russia",FUEL_STORAGE_TERMINAL,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://militarnyi.com/uk/news/urazyly-naftobazu-v-misti-labinsk-na-kubani/,"Fresh Ukrainian drone strike with fire at oil depot."
VIINA-RU-011,431539,,2026-04-16,STRICT,TGT_RU_BELGOROD_YUZHNAYA,NODE_RU_BELGOROD_YUZHNAYA,Yuzhnaya electrical substation,"Belgorod, Belgorod Oblast, Russia",ENERGY_GRID_SUPPORT,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://militarnyi.com/uk/news/drony-zavdaly-udaru-po-elektropidstantsiyi-u-byelgorodi/,"Strict coordinate-confirmed Russia-proper candidate."
VIINA-RU-012,431557,,2026-04-21,STRICT,TGT_RU_SAMARA_DRUZHBA_STATION,NODE_RU_SAMARA_DRUZHBA_STATION,Samara Druzhba oil station,"Samara, Samara Oblast, Russia",PIPELINE_PUMPING,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://nv.ua/ukr/world/countries/droni-sbu-vrazila-vorozhu-naftostanciyu-samara-yaka-formuye-eksportniy-sort-nafti-urals-dzherela-nv-50601865.html,"Duplicate review row 403168 excluded upstream."
VIINA-RU-013,274495,,2026-06-08,MANUAL_PROMOTE,TGT_RU_GRUSHOVAYA_DEPOT,NODE_RU_GRUSHOVAYA_DEPOT,Grushovaya oil transfer depot / Sheskharis complex,"Novorossiysk, Krasnodar Krai, Russia",FUEL_STORAGE_TERMINAL,NOT_APPLICABLE,UNIQUE,,FALSE,RESOLVED,https://www.unian.ua/war/novorosiysk-droni-atakuvali-odnu-z-naybilshih-naftobaz-na-kavkazi-13405227.html,"Large oil storage/transfer facility in Novorossiysk."
