SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,PhysicalAttackStatus,ActorClaim,AttributionStatus,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
222660,20250217,PARENT,SPLIT_REQUIRED,,RUSSIA_PROPER,Ilsky refinery plus Kropotkinskaya CPC pumping station,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,Single report contains two physically distinct Russia-proper oil-infrastructure targets; split before counting,FALSE
222660,20250217,RU1,INCLUDE_RUSSIA_PROPER,2025-02-17,RUSSIA_PROPER,Ilsky oil refinery Krasnodar Krai,TGT_RU_ILSKY_REFINERY_20250217,NODE_RU_ILSKY_REFINERY,REFINING_PETROCHEM_GAS,CONFIRMED_FIRE_AFTER_DRONE_ATTACK,UKRAINIAN_SBU_OPERATION_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Drone attack and fire at Ilsky refinery were reported; later Reuters chronology also records a fire at the refinery on 17 February,FALSE
222660,20250217,RU2,INCLUDE_RUSSIA_PROPER,2025-02-17,RUSSIA_PROPER,Kropotkinskaya CPC oil pumping station Krasnodar Krai,TGT_RU_KROPOTKINSKAYA_CPC_PUMP_20250217,NODE_RU_KROPOTKINSKAYA_CPC_PUMP,PIPELINE_PUMPING,CONFIRMED_PHYSICAL_DAMAGE_AND_HALT,UKRAINIAN_SBU_OPERATION_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,CPC confirmed drone strike and halted operations at Kropotkinskaya; Reuters reported reduced Kazakh oil flows,FALSE
67700,20250502,MAIN,LINK_DUPLICATE_TO_67698,2025-05-02,CRIMEA_SEVASTOPOL,Mass drone attack around military airfields in occupied Crimea,,,,ATTACK_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,MANUAL_DUPLICATE_SAME_URL_EVENT,NOT_ELIGIBLE_RUSSIA_PROPER,Same source URL and same Crimea event as 67698; extra unrelated Poland paragraph prevented exact-text dedupe,FALSE
67698,20250502,MAIN,EXCLUDE_CRIMEA_SCOPE,2025-05-02,CRIMEA_SEVASTOPOL,Mass drone attack around military airfields in occupied Crimea,,,,ATTACK_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,CANONICAL_FOR_67700,NOT_ELIGIBLE_RUSSIA_PROPER,All described military-airfield activity is in occupied Crimea and outside Russia-proper census,FALSE
30319,20250818,MAIN,INCLUDE_RUSSIA_PROPER,2025-08-18,RUSSIA_PROPER,Nikolskoye Druzhba oil pumping station Tambov Oblast,TGT_RU_NIKOLSKOYE_DRUZHBA_PUMP_20250818,NODE_RU_NIKOLSKOYE_DRUZHBA_PUMP,PIPELINE_PUMPING,CONFIRMED_FIRE_AND_FULL_FLOW_STOP,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Ukraine General Staff reported strike and fire; pumping through Druzhba was fully stopped,FALSE
90778,20250912,MAIN,INCLUDE_RUSSIA_PROPER,2025-09-12,RUSSIA_PROPER,Primorsk Baltic oil export port Leningrad Oblast,TGT_RU_PRIMORSK_OIL_PORT_20250912,NODE_RU_PRIMORSK_OIL_PORT,PORT_EXPORT_LOGISTICS,CONFIRMED_FIRE_AND_LOADING_SUSPENSION,UKRAINIAN_SBU_OPERATION_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,SBU source reported fires at a vessel and pumping station and temporary suspension of oil shipments at Primorsk,FALSE
193520,20250914,MAIN,INCLUDE_RUSSIA_PROPER,2025-09-14,RUSSIA_PROPER,Kirishinefteorgsintez oil refinery Kirishi Leningrad Oblast,TGT_RU_KIRISHI_REFINERY_20250914,NODE_RU_KIRISHI_REFINERY,REFINING_PETROCHEM_GAS,CONFIRMED_FIRE_AFTER_DRONE_ATTACK,UKRAINIAN_GENERAL_STAFF_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Russian governor confirmed refinery fire after drone debris; Ukraine General Staff confirmed strike and Reuters later reported a key unit production halt,FALSE
399685,20251111,PARENT,SPLIT_REQUIRED,,MIXED,Saratov refinery plus Feodosia and occupied Donetsk targets,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,General Staff confirmation covers three geographically distinct target components; split before counting,FALSE
399685,20251111,RU1,INCLUDE_RUSSIA_PROPER,2025-11-11,RUSSIA_PROPER,Saratov oil refinery,TGT_RU_SARATOV_REFINERY_20251111,NODE_RU_SARATOV_REFINERY,REFINING_PETROCHEM_GAS,STRIKE_CONFIRMED,UKRAINIAN_GENERAL_STAFF_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly confirmed strike on Saratov refinery; target-level effect remains for later evidence reconciliation,FALSE
399685,20251111,CR1,EXCLUDE_CRIMEA_SCOPE,2025-11-11,CRIMEA_SEVASTOPOL,Feodosia oil infrastructure component,,,,STRIKE_CONFIRMED,UKRAINIAN_GENERAL_STAFF_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Crimea,FALSE
399685,20251111,UA1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-11,UKRAINE_OCCUPIED_OTHER,Target component in occupied Donetsk Oblast,,,,STRIKE_CONFIRMED,UKRAINIAN_GENERAL_STAFF_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Ukrainian territory,FALSE
95110,20251126,PARENT,SPLIT_REQUIRED,,RUSSIA_PROPER,Taganrog defence plants plus Sheskharis terminal and Tuapse refinery,,,,,COMPOSITE,COMPOSITE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_YET_ASSESSED,General Staff report contains four physically and functionally distinct Russia-proper strategic targets struck on the night of 25 November,FALSE
95110,20251126,RU1,INCLUDE_RUSSIA_PROPER,2025-11-25,RUSSIA_PROPER,Beriev TANTK aircraft repair plant Taganrog Rostov Oblast,TGT_RU_BERIEV_TANTK_20251125,NODE_RU_BERIEV_TANTK,DEFENSE_INDUSTRY_AIRCRAFT_REPAIR,CONFIRMED_PHYSICAL_HIT_AND_LARGE_FIRE,UKRAINIAN_GENERAL_STAFF_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff recorded hits with numerous explosions and large fires at plant repairing and modernising A-50 and Tu-95MS aircraft,FALSE
