SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
73361,20250302,PARENT,SPLIT_REQUIRED,,MIXED,Selydove ammunition depot plus Ilsky refinery,,,,COMPOSITE,NOT_YET_ASSESSED,Single General Staff report contains occupied-Donetsk and Russia-proper components,FALSE
73361,20250302,UA1,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-03-02,UKRAINE_OCCUPIED_OTHER,Selydove thermobaric ammunition depot,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Donetsk Oblast Ukraine,FALSE
73361,20250302,RU1,INCLUDE_RUSSIA_PROPER,2025-03-02,RUSSIA_PROPER,Ilsky oil refinery Krasnodar Krai,TGT_RU_ILSKY_REFINERY_20250302,NODE_RU_ILSKY_REFINERY,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Ilsky refinery; Ukraine geocode came from Selydove component,FALSE
111939,20250311,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-03-11,UKRAINE_OTHER,Odesa maritime port,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian ballistic strike on Odesa port in Ukraine,FALSE
82322,20250703,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-07-03,UKRAINE_OCCUPIED_OTHER,Ammunition depots near occupied Khartsyzk Donetsk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Donetsk Oblast Ukraine,FALSE
186348,20250704,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-07-04,UKRAINE_OTHER,DTEK equipment and two transformer substations Kyiv,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian attack on Kyiv energy infrastructure,FALSE
186793,20250731,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-07-31,UKRAINE_OTHER,Transformer substation Kyiv,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian attack damaged Kyiv substation,FALSE
325144,20250819,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-08-19,UKRAINE_OCCUPIED_OTHER,Two Russian ammunition depots in occupied Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Targets lie in occupied Ukrainian territory,FALSE
158715,20250924,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-09-18,UKRAINE_OCCUPIED_OTHER,Ammunition depot Bohdanivka Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Luhansk Oblast Ukraine,FALSE
358786,20251004,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-10-04,UKRAINE_OTHER,Substation supplying Chornobyl nuclear power plant,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian Shahed attack on Ukrainian power infrastructure,FALSE
112678,20251009,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-10-09,UKRAINE_OTHER,Port and energy infrastructure Odesa Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Russian attack on Ukrainian port/energy infrastructure,FALSE
90342,20251010,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2025-10-10,UKRAINE_OTHER,Oil depot Pryluky Chernihiv Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Drone attack on oil depot in Ukraine,FALSE
325162,20251027,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-10-27,UKRAINE_OCCUPIED_OTHER,Russian oil depot and fuel warehouse occupied Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Targets lie in occupied Ukrainian territory,FALSE
96592,20251030,PARENT,SPLIT_REQUIRED,,RUSSIA_PROPER,Novospasskoye refinery plus Mari refinery plus Budennovsk gas-processing plant,,,,COMPOSITE,NOT_YET_ASSESSED,General Staff report contains three physically distinct Russia-proper energy targets; split before counting,FALSE
96592,20251030,RU1,INCLUDE_RUSSIA_PROPER,2025-10-30,RUSSIA_PROPER,Novospasskoye oil refinery Ulyanovsk Oblast,TGT_RU_NOVOSPASSKOYE_REFINERY_20251030,NODE_RU_NOVOSPASSKOYE_REFINERY,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on refinery in Ulyanovsk Oblast,FALSE
96592,20251030,RU2,INCLUDE_RUSSIA_PROPER,2025-10-30,RUSSIA_PROPER,Mari oil refinery Mari El,TGT_RU_MARI_REFINERY_20251030,NODE_RU_MARI_REFINERY,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on Mari refinery,FALSE
96592,20251030,RU3,INCLUDE_RUSSIA_PROPER,2025-10-30,RUSSIA_PROPER,Budennovsk gas-processing plant Stavropol Krai,TGT_RU_BUDENNOVSK_GAS_PROCESSING_20251030,NODE_RU_BUDENNOVSK_GAS_PROCESSING,REFINING_PETROCHEM_GAS,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,General Staff explicitly reported strike on gas-processing plant at Budennovsk,FALSE
352049,20251102,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-02,UKRAINE_OCCUPIED_OTHER,Electricity substation Alchevsk occupied Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Ukrainian territory,FALSE
378897,20251103,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-03,UKRAINE_OCCUPIED_OTHER,Oil depot Shakhtarsk occupied Donetsk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Ukrainian territory,FALSE
365495,20251109,MAIN,INCLUDE_RUSSIA_PROPER_PROVISIONAL,2025-11-09,RUSSIA_PROPER,Electricity substation Korenevo Kursk Oblast,TGT_RU_KORENEVO_SUBSTATION_20251109,NODE_RU_KORENEVO_SUBSTATION,ENERGY_GRID_SUPPORT,PENDING_CROSS_ROW,CENSUS_CANDIDATE_ONLY,Text explicitly places target in Korenevo Kursk Oblast Russia; VIINA geocode incorrectly resolves to Sumy Oblast,FALSE
158725,20251127,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2025-11-27,UKRAINE_OCCUPIED_OTHER,Electricity substation Novoaidar occupied Luhansk Oblast,,,,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target lies in occupied Ukrainian territory,FALSE
